Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-2-E-OE-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,88.95,1,93.83,91.44,84.91,63.88,100.00
IR-3-E-OEM-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,84.82,2,89.61,96.04,76.53,44.71,93.48
IR-3-E-OEM-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,82.18,3,80.83,89.35,81.47,59.72,88.60
IR-5-E-OEMAL-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,77.78,4,73.73,84.26,85.65,53.99,78.51
IR-3-E-OEM-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,75.24,5,78.51,77.15,78.99,41.46,85.89
IR-4-E-OEMA-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,72.57,6,72.80,72.08,88.90,56.66,56.63
IR-2-E-OE-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,69.25,7,86.29,61.54,76.51,50.46,45.49
IR-4-E-OEMA-U-0439,Anna University,Chennai,Tamil Nadu,67.04,8,64.60,72.08,68.55,52.30,71.04
IR-2-E-OE-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,60.87,9,80.63,44.22,71.03,55.11,36.94
IR-3-E-OEP-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,60.63,10,70.22,58.51,73.21,53.43,20.35
IR-2-E-OE-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,60.35,11,66.49,46.44,72.02,60.96,59.69
IR-2-E-OE-U-0575,Jadavpur University,Kolkata,West Bengal,59.82,12,58.26,68.50,77.63,29.09,33.49
IR-2-E-OE-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,59.24,13,64.70,53.04,74.73,59.99,29.73
IR-2-E-OE-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,57.95,14,81.42,40.80,69.67,56.16,17.28
IR-2-E-OE-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,57.05,15,61.82,52.36,78.74,45.76,24.71
IR-3-E-OEM-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,57.02,16,54.64,55.40,65.51,59.22,49.93
